symbol,timeframe,net_pnl,max_drawdown,win_rate,profit_factor,trade_count,test_net_pnl,strategy_id
HC,1d,21263.936799999992,-5733.761160000004,0.5769230769230769,2.9325661255676283,26,4373.000519999999,donchian_atr|both|1d|w3|sw0.006|br0.0025|lb24|sl0.015|mh96|cd4|atr10|am3.2|ex12|mom48|vol48|th0.4|strict
HC,1d,18248.419,-4445.92296,0.5769230769230769,2.727284498434942,26,4587.773039999995,donchian_atr|both|1d|w3|sw0.006|br0.005|lb16|sl0.015|mh48|cd4|atr20|am3.2|ex24|mom48|vol48|th0.4|strict
FG,60m,2528.9752000000076,-1729.419600000003,0.5769230769230769,1.7527128585094331,26,1483.5720000000038,donchian_atr|both|60m|w3|sw0.006|br0.0015|lb32|sl0.015|mh32|cd4|atr10|am2|ex16|mom48|vol48|th0.4|strict
HC,1d,17822.90459999999,-4356.364085714296,0.5757575757575758,2.4134949767563163,33,4274.351685714279,donchian_atr|both|1d|w3|sw0.006|br0.0025|lb16|sl0.015|mh24|cd4|atr14|am3.2|ex12|mom48|vol48|th0.4|strict
HC,1d,17506.80002857142,-4538.2235999999975,0.5757575757575758,2.298234968015524,33,5227.02568571428,donchian_atr|both|1d|w3|sw0.006|br0.001|lb24|sl0.015|mh24|cd4|atr14|am3.2|ex12|mom48|vol48|th0.4|strict
HC,1d,21601.618399999996,-5565.547600000001,0.5714285714285714,2.90073486442692,28,3961.201199999997,donchian_atr|both|1d|w3|sw0.006|br0.001|lb24|sl0.015|mh48|cd4|atr10|am3.2|ex24|mom48|vol48|th0.4|strict
HC,1d,19791.600371428565,-5879.032828571429,0.5714285714285714,2.766407633536107,28,4253.889371428565,donchian_atr|both|1d|w3|sw0.006|br0.0025|lb24|sl0.015|mh48|cd4|atr14|am3.2|ex12|mom48|vol48|th0.4|strict
UR,30m,4264.478399999998,-2577.968400000009,0.5714285714285714,1.737426337401934,56,4098.977599999998,tsmom_vol|both|30m|w3|sw0.006|br0.002|lb24|sl0.015|mh32|cd4|atr10|am2|ex12|mom24|vol48|th0.4|strict
UR,30m,3836.4576000000006,-2577.968400000009,0.5714285714285714,1.663411702722147,56,3822.9619999999995,tsmom_vol|both|30m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr10|am2|ex12|mom24|vol48|th0.4|strict
FG,60m,3092.677142857136,-3080.996428571436,0.5714285714285714,1.6316190748275528,21,1703.326714285713,donchian_atr|both|60m|w3|sw0.006|br0.003|lb16|sl0.015|mh64|cd4|atr14|am3|ex16|mom48|vol48|th0.4|strict
SA,60m,2993.378800000001,-2112.0268000000005,0.5714285714285714,2.2139332657217916,21,2183.5854000000018,donchian_atr|both|60m|w3|sw0.006|br0.0015|lb16|sl0.015|mh64|cd4|atr10|am3|ex16|mom48|vol48|th0.4|signal
SA,60m,2993.378800000001,-2112.0268000000005,0.5714285714285714,2.2139332657217916,21,2183.5854000000018,donchian_atr|both|60m|w3|sw0.006|br0.0015|lb16|sl0.015|mh64|cd4|atr10|am3|ex16|mom48|vol48|th0.4|strict
FG,60m,2895.536,-3328.237799999997,0.5714285714285714,1.591719995734683,21,1869.622199999998,donchian_atr|both|60m|w3|sw0.006|br0.003|lb16|sl0.015|mh64|cd4|atr10|am3|ex16|mom48|vol48|th0.4|strict
